time,temperature,solar_radiation
314,1.5,0.1
315,1.4,0.0
316,1.0,0.0
317,0.9,0.0
318,0.9,0.0
319,1.1,0.0
320,1.3,3.2
321,1.3,23.2
322,1.5,37.7
323,1.8,108.0
324,2.2,151.8
325,2.7,136.5
326,3.2,133.2
327,3.6,78.2
328,3.1,31.4
329,2.3,0.5
330,1.8,0.0
331,1.3,0.0
332,1.2,0.0
333,0.9,0.0
334,0.5,0.0
335,-0.1,0.0
336,-0.9,0.0
337,-1.0,0.0
338,-1.1,0.0
339,-1.3,0.0
340,-1.9,0.0
341,-2.2,0.0
342,-2.3,0.0
343,-2.2,0.0
344,-2.2,11.2
345,-2.2,42.9
346,-1.4,93.7
347,-1.0,94.3
348,-0.4,98.4
349,-0.1,102.3
350,-0.2,101.6
351,-0.3,108.5
352,-0.5,42.7
353,-0.8,1.8
354,-1.0,0.0
355,-0.7,0.0
356,-0.9,0.0
357,-0.9,0.0
358,-0.8,0.0
359,-0.8,0.0
360,-1.2,0.0
361,-1.4,0.0
362,-1.5,0.0
363,-1.7,0.0
364,-1.9,0.0
365,-1.9,0.0
366,-2.3,0.0
367,-2.8,0.0
368,-3.5,8.7
369,-2.4,208.7
370,-1.0,293.5
371,-1.1,213.2
372,0.2,382.2
373,0.9,351.6
374,1.0,270.8
375,1.2,181.6
376,-0.2,33.8
377,-1.4,0.1
378,-2.1,0.0
379,-2.9,0.0
380,-3.8,0.0
381,-4.2,0.0
382,-4.4,0.0
383,-4.0,0.0
384,-4.4,0.0
385,-4.5,0.0
386,-4.2,0.0
387,-3.9,0.0
388,-3.8,0.0
389,-3.7,0.0
390,-4.1,0.0
391,-4.5,0.0
392,-5.0,14.3
393,-4.1,166.8
394,-2.8,324.8
395,-2.4,322.2
396,-1.5,366.7
397,-0.9,334.7
398,-0.3,270.8
399,-0.7,157.4
400,-1.4,58.4
401,-2.2,1.2
402,-2.6,0.0
403,-3.0,0.0
404,-4.1,0.0
405,-4.7,0.0
406,-5.1,0.0
407,-5.1,0.0
408,-5.3,0.0
409,-5.2,0.0
410,-4.8,0.0
411,-5.5,0.0
412,-6.3,0.0
413,-6.6,0.0
414,-6.8,0.0
415,-7.0,0.0
416,-7.0,23.4
417,-6.0,161.9
418,-4.8,285.7
419,-3.7,383.0
420,-2.6,395.9
421,-1.3,368.3
422,-0.4,286.3
423,-0.9,95.6
424,-1.4,33.3
425,-1.8,0.3
426,-2.4,0.0
427,-2.6,0.0
428,-2.6,0.0
429,-2.6,0.0
430,-2.3,0.0
431,-2.3,0.1
432,-2.1,0.0
433,-2.3,0.0
434,-1.8,0.0
435,-1.4,0.0
436,-1.1,0.0
437,-1.2,0.0
438,-0.8,0.0
439,-0.7,0.0
440,-0.1,24.9
441,0.5,136.8
442,1.9,228.8
443,3.2,235.9
444,4.0,250.8
445,5.2,194.6
446,5.2,115.1
447,5.2,54.1
448,4.6,8.9
449,5.2,0.1
450,4.7,0.0
451,4.1,0.0
452,3.1,0.0
453,2.7,0.0
454,2.9,0.0
455,3.2,0.0
456,3.6,0.0
457,3.3,0.0
458,3.5,0.0
459,3.7,0.0
460,3.6,0.0
461,3.7,0.0
462,3.5,0.0
463,3.3,0.1
464,4.0,4.2
465,5.4,42.3
466,6.0,193.5
467,7.6,235.1
468,9.0,235.1
469,11.5,426.5
470,10.4,251.8
471,8.6,153.8
472,7.7,22.8
473,5.9,0.7
474,3.8,0.0
475,2.7,0.0
476,2.1,0.0
477,2.3,0.0
478,2.3,0.0
479,1.8,0.0
480,1.8,0.0
481,1.5,0.0
482,1.2,0.0
483,0.6,0.0
484,0.4,0.0
485,0.0,0.0
486,-0.2,0.0
487,-0.2,0.0
488,0.1,8.5
489,0.3,73.2
490,0.9,175.7
491,1.3,187.4
492,2.0,229.6
493,2.3,175.1
494,2.7,232.4
495,2.6,109.1
496,2.5,40.4
497,2.2,1.9
498,2.0,0.0
499,1.7,0.0
500,1.0,0.0
501,0.7,0.0
502,0.5,0.0
503,0.6,0.0
504,0.0,0.0
505,-0.1,0.0
506,-0.1,0.0
507,-0.2,0.0
508,-0.3,0.0
509,-0.1,0.0
510,-0.0,0.0
511,0.1,0.0
512,0.7,15.0
513,1.4,101.1
514,2.5,282.5
515,3.8,421.0
516,5.0,438.9
517,5.7,405.6
518,6.3,309.6
519,6.6,175.7
520,5.9,47.9
521,3.6,0.5
522,1.8,0.0
523,1.1,0.0
524,0.5,0.0
525,0.1,0.0
526,0.1,0.0
527,-0.4,0.0
528,-0.7,0.0
529,-0.7,0.0
530,-1.5,0.0
531,-1.8,0.0
532,-1.4,0.0
533,-2.1,0.0
534,-2.5,0.0
535,-2.7,0.0
536,-2.2,16.0
537,-1.3,164.6
538,-0.2,307.6
539,1.0,363.5
540,2.7,315.1
541,4.3,321.7
542,4.4,163.4
543,3.8,87.4
544,3.0,33.0
545,2.5,0.7
546,1.5,0.0
547,0.9,0.0
548,0.1,0.0
549,-0.1,0.0
550,-0.4,0.0
551,-1.0,0.0
552,-1.3,0.0
553,-1.2,0.0
554,-1.6,0.0
555,-2.2,0.0
556,-2.3,0.0
557,-2.8,0.0
558,-3.2,0.0
559,-3.2,0.0
560,-3.3,7.4
561,-2.4,171.6
562,-1.7,316.4
563,-0.1,402.7
564,1.5,416.6
565,2.1,393.0
566,2.6,306.6
567,1.9,175.1
568,0.6,59.0
569,-0.6,2.6
570,-0.7,0.0
571,-0.5,0.0
572,-0.3,0.0
573,-0.1,0.0
574,-0.1,0.0
575,0.0,0.0
576,-0.1,0.0
577,-0.1,0.0
578,-0.1,0.0
579,-0.3,0.0
580,-0.6,0.0
581,-0.7,0.0
582,-0.8,0.0
583,-0.8,0.0
584,-0.8,9.1
585,-0.8,38.7
586,-0.3,105.3
587,0.3,211.5
588,1.0,348.2
589,1.2,286.4
590,1.7,327.4
591,1.4,182.6
592,0.5,53.8
593,-0.5,2.2
594,-0.5,0.0
595,-0.5,0.0
596,-0.7,0.0
597,-1.0,0.0
598,-2.3,0.0
599,-3.0,0.0
600,-3.4,0.0
601,-3.8,0.0
602,-4.2,0.0
603,-4.7,0.0
604,-5.0,0.0
605,-5.2,0.0
606,-5.6,0.0
607,-5.6,0.0
608,-6.0,9.3
609,-5.0,222.9
610,-3.5,377.0
611,-1.9,454.8
612,0.1,475.8
613,1.6,417.1
614,2.3,296.7
615,1.9,145.9
616,2.2,75.2
617,0.2,2.1
618,-0.5,0.0
619,-1.0,0.0
620,-1.6,0.0
621,-2.2,0.0
622,-2.6,0.0
623,-3.0,0.0
624,-2.7,0.0
625,-3.5,0.0
626,-3.9,0.0
627,-3.9,0.0
628,-4.1,0.0
629,-4.0,0.0
630,-4.3,0.0
631,-4.2,0.2
632,-3.5,28.1
633,-2.1,228.3
634,-0.6,339.4
635,0.4,352.9
636,2.5,336.3
637,4.2,344.2
638,4.4,146.2
639,4.8,80.7
640,4.6,27.5
641,4.2,1.3
642,3.7,0.0
643,2.7,0.0
644,2.2,0.0
645,2.7,0.0
646,3.5,0.0
647,2.8,0.0
648,1.5,0.0
649,0.6,0.0
650,0.4,0.0
651,0.5,0.0
652,0.6,0.0
653,1.2,0.0
654,1.7,0.0
655,1.9,0.1
656,2.1,11.6
657,3.0,70.6
658,3.4,172.1
659,5.0,392.5
660,6.3,475.5
661,7.0,428.1
662,7.8,337.9
663,7.6,213.3
664,6.8,69.2
665,5.0,2.4
666,3.8,0.0
667,2.0,0.0
668,1.8,0.0
669,1.6,0.0
670,1.3,0.0
671,0.6,0.0
672,0.4,0.0
673,0.1,0.0
674,0.1,0.0
675,0.3,0.0
676,0.3,0.0
677,0.5,0.0
678,0.2,0.0
679,0.5,0.3
680,0.9,15.6
681,1.1,57.1
682,1.6,80.1
683,2.2,74.2
684,2.2,95.1
685,3.0,90.9
686,3.5,89.1
687,4.0,74.7
688,3.9,18.1
689,3.3,0.2
690,2.9,0.0
691,2.2,0.0
692,2.1,0.0
693,2.1,0.0
694,2.1,0.0
695,2.0,0.0
696,1.6,0.0
697,1.3,0.0
698,1.4,0.0
699,1.3,0.0
700,1.1,0.0
701,1.0,0.0
702,1.1,0.0
703,1.0,0.3
704,1.4,11.3
705,1.9,57.6
706,2.5,132.5
707,2.8,177.4
708,3.6,264.7
709,6.3,374.5
710,7.3,225.4
711,6.0,97.1
712,6.4,31.5
713,5.9,2.1
714,5.9,0.0
715,6.1,0.0
716,6.0,0.0
717,6.3,0.1
718,7.5,0.0
719,7.1,0.0
720,8.3,0.0
721,7.9,0.0
722,5.6,0.0
723,5.3,0.0
724,4.4,0.0
725,4.4,0.0
726,3.9,0.0
727,3.8,0.3
728,3.1,14.3
729,3.9,201.6
730,5.3,294.3
731,6.6,322.4
732,8.3,461.2
733,8.9,372.8
734,9.3,274.7
735,9.2,176.3
736,9.2,88.1
737,7.4,6.4
738,6.6,0.0
739,6.5,0.0
740,6.7,0.0
741,6.7,0.0
742,6.8,0.0
743,6.7,0.0
744,6.1,0.0
745,6.2,0.0
746,6.0,0.0
747,5.2,0.0
748,5.3,0.0
749,5.0,0.0
750,5.0,0.0
751,5.0,0.1
752,4.5,7.2
753,4.7,15.6
754,4.7,20.7
755,4.6,31.8
756,4.4,43.5
757,4.2,37.3
758,3.6,40.6
759,3.4,21.1
760,3.5,5.8
761,3.3,0.7
762,3.4,0.1
763,3.3,0.2
764,3.3,0.1
765,3.5,0.2
766,3.3,0.0
767,3.5,0.1
768,3.7,0.1
769,3.6,0.3
770,3.7,0.1
771,3.7,0.1
772,3.7,0.2
773,3.6,0.2
774,3.2,0.1
775,3.0,0.2
776,3.4,20.7
777,3.3,50.7
778,3.2,103.5
779,3.3,177.9
780,3.5,148.7
781,3.8,100.5
782,3.5,122.4
783,4.0,229.0
784,3.3,45.2
785,2.9,6.9
786,2.6,0.0
787,2.8,0.0
788,2.5,0.0
789,2.4,0.0
790,2.2,0.0
791,1.5,0.0
792,1.3,0.0
793,0.9,0.0
794,0.6,0.0
795,0.6,0.0
796,0.6,0.0
797,0.4,0.0
798,-0.1,0.0
799,-0.5,0.4
800,-0.8,16.7
801,0.8,243.6
802,1.8,374.4
803,2.7,435.1
804,3.4,444.3
805,4.2,433.3
806,4.8,381.2
807,4.3,223.0
808,3.5,87.0
809,2.5,6.8
810,1.8,0.0
811,1.5,0.0
812,1.3,0.0
813,1.1,0.0
814,0.9,0.0
815,0.8,0.0
816,0.5,0.0
817,0.3,0.0
818,0.5,0.0
819,0.4,0.0
820,-0.8,0.0
821,-1.0,0.1
822,-1.0,0.2
823,-0.8,0.2
824,-0.7,2.8
825,-0.4,24.8
826,0.4,101.6
827,0.9,229.8
828,2.1,439.6
829,3.2,395.4
830,4.0,327.8
831,3.3,137.5
832,3.5,56.6
833,3.6,9.1
834,3.4,0.0
835,3.4,0.0
836,3.3,0.0
837,3.2,0.0
838,2.9,0.0
839,2.8,0.0
840,2.5,0.0
841,1.9,0.0
842,1.9,0.0
843,1.7,0.0
844,1.6,0.0
845,1.5,0.0
846,1.2,0.0
847,1.7,0.1
848,2.1,22.1
849,2.8,138.1
850,3.3,218.0
851,4.6,409.1
852,8.0,451.0
853,9.8,196.2
854,9.0,96.9
855,8.5,64.4
856,7.9,42.2
857,7.2,1.3
858,5.1,0.0
859,2.1,0.0
860,0.9,0.0
861,0.7,0.0
862,1.1,0.0
863,1.2,0.0
864,1.4,0.0
865,1.7,0.0
866,2.1,0.0
867,1.0,0.0
868,0.3,0.0
869,-0.2,0.0
870,-0.3,0.0
871,-0.9,0.8
872,-0.6,21.6
873,-0.3,45.4
874,0.2,70.2
875,1.0,140.9
876,1.0,116.5
877,0.9,102.2
878,-0.2,37.7
879,-0.5,14.1
880,-0.6,5.3
881,-0.7,0.8
882,-0.7,0.1
883,-0.6,0.1
884,-0.4,0.1
885,-0.3,0.0
886,-0.4,0.0
887,-0.5,0.1
888,-0.9,0.1
889,-1.0,0.0
890,-1.6,0.2
891,-1.7,0.0
892,-1.3,0.0
893,-1.1,0.0
894,-1.2,0.0
895,-1.2,0.1
896,-1.2,8.9
897,-0.9,32.6
898,0.3,143.6
899,1.5,585.4
900,2.0,557.2
901,1.7,396.8
902,1.2,222.6
903,1.7,200.1
904,1.1,75.0
905,0.2,11.2
906,-0.3,0.0
907,-0.9,0.0
908,-1.3,0.0
909,-1.3,0.0
910,-1.4,0.0
911,-1.6,0.0
912,-1.6,0.0
913,-1.5,0.0
914,-1.8,0.0
915,-1.9,0.0
916,-2.0,0.0
917,-1.9,0.0
918,-2.0,0.0
919,-1.9,0.4
920,-1.9,24.5
921,-1.7,130.0
922,-0.3,402.2
923,0.7,496.6
924,1.7,621.0
925,2.6,505.9
926,3.2,453.3
927,2.5,280.8
928,1.7,116.9
929,0.1,8.5
930,-1.0,0.0
931,-1.9,0.0
932,-2.9,0.0
933,-3.5,0.0
934,-3.8,0.0
935,-4.0,0.0
936,-4.0,0.0
937,-3.8,0.0
938,-4.0,0.0
939,-3.8,0.0
940,-4.1,0.0
941,-3.9,0.0
942,-3.8,0.0
943,-3.8,0.8
944,-3.7,36.0
945,-3.5,76.1
946,-3.3,164.9
947,-2.0,320.5
948,-0.4,578.8
949,0.2,349.5
950,1.3,350.0
951,1.7,318.3
952,1.1,122.4
953,-0.6,9.3
954,-1.9,0.0
955,-3.2,0.0
956,-3.9,0.0
957,-4.4,0.0
958,-4.9,0.0
959,-5.5,0.0
960,-5.9,0.0
961,-6.2,0.0
962,-6.6,0.0
963,-7.0,0.0
964,-7.4,0.0
965,-7.9,0.0
966,-7.9,0.0
967,-8.3,0.8
968,-8.2,40.5
969,-6.4,327.2
970,-5.0,459.9
971,-3.6,535.1
972,-2.2,529.8
973,-1.2,469.5
974,-0.2,366.5
975,-0.1,185.5
976,-0.3,71.9
977,-0.6,7.8
978,-0.7,0.0
979,-0.8,0.0
980,-0.7,0.0
981,-0.5,0.0
982,-0.5,0.0
983,-0.6,0.0
984,-0.8,0.0
985,-1.0,0.0
986,-1.0,0.0
